standard_structure_id,complex_pdb_path,plip_work_dir,plip_report_path,ged_file_path,n_ligand_atoms,n_ligand_nodes,n_protein_nodes,n_total_nodes,n_interaction_records,n_ligand_connectivity_edges,n_total_edges,status,error_message
PTP1B_55,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_55_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_55,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_55/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_55_final.txt,17,17,11,28,13,17,30,success,
PTP1B_56,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_56_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_56,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_56/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_56_final.txt,17,17,9,26,13,17,30,success,
PTP1B_57,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_57_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_57,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_57/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_57_final.txt,17,17,10,27,13,17,30,success,
PTP1B_58,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_58_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_58,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_58/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_58_final.txt,17,17,10,27,13,17,30,success,
PTP1B_59,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_59_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_59,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_59/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_59_final.txt,17,17,11,28,14,17,31,success,
PTP1B_61,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_61_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_61,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_61/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_61_final.txt,17,17,8,25,12,17,29,success,
PTP1B_62,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_62_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_62,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_62/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_62_final.txt,17,17,11,28,14,17,31,success,
PTP1B_63,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_63_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_63,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_63/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_63_final.txt,17,17,10,27,14,17,31,success,
PTP1B_64,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_64_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_64,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_64/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_64_final.txt,17,17,10,27,14,17,31,success,
PTP1B_65,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_65_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_65,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_65/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_65_final.txt,17,17,9,26,12,17,29,success,
PTP1B_66,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_66_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_66,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_66/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_66_final.txt,17,17,10,27,13,17,30,success,
PTP1B_67,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_67_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_67,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_67/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_67_final.txt,17,17,9,26,13,17,30,success,
PTP1B_68,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_68_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_68,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_68/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_68_final.txt,17,17,10,27,15,17,32,success,
