standard_structure_id,complex_pdb_path,plip_work_dir,plip_report_path,ged_file_path,n_ligand_atoms,n_ligand_nodes,n_protein_nodes,n_total_nodes,n_interaction_records,n_ligand_connectivity_edges,n_total_edges,status,error_message
GAC_56,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_56_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_56,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_56/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_56_final.txt,10,10,6,16,9,9,18,success,
GAC_57,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_57_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_57,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_57/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_57_final.txt,10,10,7,17,10,9,19,success,
GAC_58,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_58_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_58,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_58/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_58_final.txt,10,10,7,17,10,9,19,success,
GAC_59,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_59_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_59,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_59/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_59_final.txt,10,10,7,17,9,9,18,success,
GAC_60,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_60_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_60,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_60/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_60_final.txt,10,10,8,18,11,9,20,success,
GAC_61,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_61_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_61,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_61/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_61_final.txt,10,10,7,17,10,9,19,success,
GAC_62,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_62_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_62,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_62/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_62_final.txt,10,10,7,17,10,9,19,success,
GAC_63,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_63_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_63,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_63/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_63_final.txt,10,10,7,17,10,9,19,success,
GAC_64,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_64_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_64,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_64/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_64_final.txt,10,10,7,17,9,9,18,success,
GAC_65,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_65_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_65,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_65/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_65_final.txt,10,10,7,17,10,9,19,success,
GAC_66,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_66_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_66,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_66/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_66_final.txt,10,10,7,17,10,9,19,success,
GAC_67,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_67_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_67,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_67/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_67_final.txt,10,10,7,17,10,9,19,success,
GAC_68,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_68_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_68,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_68/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_68_final.txt,10,10,7,17,9,9,18,success,
GAC_69,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_69_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_69,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_69/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_69_final.txt,10,10,7,17,10,9,19,success,
GAC_70,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_70_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_70,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_70/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_70_final.txt,10,10,7,17,10,9,19,success,
GAC_71,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_71_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_71,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_71/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_71_final.txt,10,10,7,17,10,9,19,success,
